sourceKind,spId,projectTitle,location,projectType,fundSource,projectCostPhp,documentCount,sourceUrl
infrastructure,PRDP-SU-IB-R002-ISA-005-RAM-001-2023-FMR,Rehabilitation of Bugallon Proper-Villa Carmen-San Antonio Farm to Market Road (FMR),"Brgy. Bugallon Norte, Ramon, Isabela",Farm-to-Market Road,PRDP Scale-up,"PhP. 117,612,650.00",25,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=1
infrastructure,PRDP-SU-IB-R002-ISA-004-QUI-001-2023-FMB,Rehabilitation of Sta. Lucia - Sta. Catalina Farm to Market Road with Bridge,"Brgy. Santa Lucia (Pob.), Quirino, Isabela",FMR with Bridge,PRDP Scale-up,"PhP. 183,831,191.67",36,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=1
infrastructure,PRDP-SU-IB-R002-CAG-002-CAM-001-2023-FMR,Upgrading of Agusi Farm-to-Market Road,"Brgy. Agusi, Camalaniugan, Cagayan",Farm-to-Market Road,PRDP Scale-up,"PhP. 134,161,800.00",16,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=1
infrastructure,PRDP-SU-IB-R002-ISA-001-SAO-001-2023-FMR,Rehabilitation of Rizal-Abra Farm to Market Road,"Brgy. Rizal, Santiago City, Santiago City (Component City)",Farm-to-Market Road,PRDP Scale-up,"PhP. 83,164,237.89",49,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=1
infrastructure,PRDP-SU-IB-R002-ISA-003-000-000-2023-FMR,Rehabilitation/Improvement of Union-Barcolan Farm to Market Road,"Brgy. Union, Gamu, Isabela",Farm-to-Market Road,PRDP Scale-up,"PhP. 76,887,915.00",36,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=2
infrastructure,PRDP-SU-IB-R002-ISA-002-SAO-002-2023-FMR,Rehabilitation of Sinsayon-Cabulay Farm to Market Road,"Brgy. Sinsayon, Santiago City, Santiago City (Component City)",Farm-to-Market Road,PRDP Scale-up,"PhP. 131,821,270.93",36,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=2
infrastructure,PRDP-SU-IB-R002-NUV-001-AMB-001-2023-FMR,Rehabilitation of Poblacion-Labang Farm to Market Road,"Brgy. Poblacion, Ambaguio, Nueva Vizcaya",Farm-to-Market Road,PRDP Scale-up,"PhP. 78,147,352.79",49,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=2
infrastructure,PRDP-SU-IB-R002-NUV-002-KAY-001-2023-FMR,Upgrading of Pangawan-Banao Farm to Market Road,"Brgy. Pangawan, Kayapa, Nueva Vizcaya",Farm-to-Market Road,PRDP Scale-up,"PhP. 334,482,000.00",81,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=3
infrastructure,PRDP-SU-IB-R002-CAG-001-RIZ-001-2023-FMR,Rehabilitation/Construction of Nanauatan-Lattut Farm-to-Market Road,"Brgy. Nanauatan, Rizal, Cagayan",Farm-to-Market Road,PRDP Scale-up,"PhP. 252,919,097.84",49,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=3
infrastructure,PRDP-SU-IB-R002-ISA-007-ALI-001-2023-FMR,Rehabilitation/Improvement of M.H. Del Pilar - Salvacion Farm to Market Road,"Brgy. M.H. del Pilar, Alicia, Isabela",Farm-to-Market Road,PRDP Scale-up,"PhP. 215,332,127.14",25,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=3
infrastructure,PRDP-SU-IB-R002-ISA-008-RAM-002-2023-FMR,Rehabilitation of Oscariz-Burgos-Purok Ni Bulan-Pabil FMR,"Brgy. Oscariz, Ramon, Isabela",Farm-to-Market Road,PRDP Scale-up,"PhP. 188,367,999.98",25,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=4
infrastructure,PRDP-SU-IB-R002-QUI-002-000-000-2023-FMR,Rehabilitation of Ligaya-Villa Ventura Farm-to-Market Road,"Brgy. Ligaya, Aglipay, Quirino",Farm-to-Market Road,PRDP Scale-up,"PhP. 118,678,000.00",49,https://sidlan.da.gov.ph/ses-ib-safeguard-docs/disclosure?SesIbSafeguardDocsSearch%5Bregion%5D=Cagayan+Valley+%28Region+II%29&page=4
